Fecha_Hora,ID_Estudiante,Equipo_Asignado,Tiempo_Uso_Segundos
2026-03-08 19:50:02,Est-321-3,PC-2,5
2026-03-08 19:50:03,Est-321-1,PC-1,7
2026-03-08 19:50:04,Est-321-14,PC-4,6
2026-03-08 19:50:07,Est-321-15,PC-5,8
2026-03-08 19:50:07,Est-321-11,PC-3,9
2026-03-08 19:50:10,Est-321-16,PC-2,7
2026-03-08 19:50:11,Est-321-21,PC-4,7
2026-03-08 19:50:11,Est-321-20,PC-1,7
2026-03-08 19:50:14,Est-390-1,PC-5,7
2026-03-08 19:50:15,Est-390-2,PC-3,7
2026-03-08 19:50:17,Est-390-12,PC-1,5
2026-03-08 19:50:18,Est-390-11,PC-4,7
2026-03-08 19:50:19,Est-390-9,PC-2,9
2026-03-08 19:50:21,Est-390-17,PC-3,6
2026-03-08 19:50:24,Est-390-24,PC-1,6
2026-03-08 19:50:24,Est-390-13,PC-5,9
2026-03-08 19:50:25,Est-390-28,PC-2,5
2026-03-08 19:50:25,Est-390-26,PC-4,7
2026-03-08 19:57:12,Est-228-5,PC-3,5
2026-03-08 19:57:14,Est-228-12,PC-5,6
2026-03-08 19:57:15,Est-228-2,PC-2,8
2026-03-08 19:57:15,Est-228-0,PC-1,9
2026-03-08 19:57:17,Est-228-10,PC-4,9
2026-03-08 19:57:19,Est-228-17,PC-3,7
2026-03-08 19:57:22,Est-228-24,PC-1,6
2026-03-08 19:57:23,Est-228-20,PC-2,7
2026-03-08 19:57:23,Est-228-19,PC-5,9
