Fecha_Hora,ID_Estudiante,Equipo_Asignado,Tiempo_Uso_Segundos
2026-03-18 15:53:04,Est-106-2,PC-1,5
2026-03-18 15:53:06,Est-106-19,PC-4,6
2026-03-18 15:53:07,Est-106-21,PC-5,7
2026-03-18 15:53:09,Est-106-14,PC-2,9
2026-03-18 15:53:09,Est-106-16,PC-3,9
2026-03-18 15:53:11,Est-106-28,PC-1,7
2026-03-18 15:53:12,Est-106-29,PC-4,5
2026-03-18 15:53:53,Est-738-1,PC-1,5
2026-03-18 15:53:54,Est-738-2,PC-3,6
2026-03-18 15:53:55,Est-738-5,PC-5,7
2026-03-18 15:53:56,Est-738-4,PC-4,7
2026-03-18 15:53:56,Est-738-0,PC-2,8
2026-03-18 15:54:02,Est-738-16,PC-2,5
2026-03-18 15:54:02,Est-738-9,PC-1,9
2026-03-18 15:54:03,Est-738-10,PC-3,9
2026-03-18 15:54:04,Est-738-13,PC-5,8
2026-03-18 15:54:05,Est-738-15,PC-4,9
2026-03-18 15:54:09,Est-738-27,PC-1,7
2026-03-18 15:54:11,Est-738-23,PC-2,8
2026-03-21 22:55:12,Est-345-13,PC-4,5
2026-03-21 22:55:13,Est-345-16,PC-5,5
2026-03-21 22:55:13,Est-345-8,PC-3,6
2026-03-21 22:55:14,Est-345-1,PC-1,7
2026-03-21 22:55:16,Est-345-7,PC-2,9
2026-03-21 22:55:19,Est-345-26,PC-1,5
2026-03-21 22:55:19,Est-345-20,PC-5,6
2026-03-21 22:55:20,Est-345-25,PC-3,6
2026-03-21 22:55:21,Est-345-19,PC-4,8
